item_id,count,count_percentage
49,6.286572176,2.073308388
178,5.440431959,1.794251764
129,4.158825017,1.37157843
153,4.082722551,1.346479874
36,3.815739287,1.258428926
199,3.603301782,1.188367142
200,3.034250874,1.000694435
139,2.863319425,0.944321327
162,2.859057279,0.942915674
14,2.812451569,0.927545134
81,2.710669311,0.893977395
74,2.689008578,0.886833696
57,2.5916053,0.854710144
41,2.551048527,0.84133454
84,2.461263725,0.811723557
149,2.430028203,0.801422097
12,2.429842234,0.801360765
104,2.406492353,0.793659985
125,2.405208064,0.793236428
7,2.374321191,0.783049952
89,2.299174773,0.758266701
150,2.259981835,0.745340889
1,2.258276528,0.74477848
40,2.204246431,0.726959381
196,2.200560555,0.725743781
71,2.194371141,0.723702515
77,2.133195756,0.703526903
46,2.071734769,0.6832571
113,2.052533211,0.676924436
70,2.041089734,0.673150383
165,2.034770125,0.671066179
58,2.01685942,0.665159237
143,1.980796268,0.653265628
27,1.93428361,0.637925776
60,1.916695846,0.63212534
146,1.875612784,0.618576167
91,1.866927261,0.615711685
163,1.847257673,0.609224665
97,1.824836084,0.601830036
180,1.824744862,0.601799951
133,1.824114448,0.601592041
184,1.820123011,0.600275667
10,1.808087633,0.596306405
128,1.803843738,0.594906771
145,1.78531534,0.588796114
155,1.748407722,0.576624
138,1.738989286,0.573517805
108,1.656247741,0.546229684
96,1.645711458,0.542754823
101,1.643916697,0.542162912
83,1.641857969,0.541483944
174,1.613559377,0.532151083
13,1.607167121,0.53004292
179,1.591470236,0.524866095
102,1.586245983,0.523143139
127,1.568492313,0.517287988
20,1.55992237,0.514461625
56,1.553907117,0.512477797
194,1.546473641,0.51002624
147,1.541132488,0.508264731
148,1.5333715,0.505705161
30,1.516213926,0.500046601
73,1.506772315,0.496932763
45,1.498561169,0.494224731
134,1.49384859,0.492670525
114,1.484164646,0.489476765
175,1.466480973,0.483644698
123,1.465056443,0.483174889
82,1.431628091,0.472150235
189,1.427068328,0.470646427
33,1.404994766,0.463366578
120,1.402412293,0.462514879
62,1.398041784,0.461073488
38,1.395314391,0.460173995
168,1.383388797,0.45624094
164,1.378599485,0.454661427
75,1.37467815,0.453368173
32,1.365707249,0.450409574
109,1.363363986,0.449636767
166,1.351123386,0.445599823
11,1.338956668,0.441587246
24,1.331647512,0.43917669
85,1.327346217,0.437758125
48,1.320421601,0.43547439
119,1.314919025,0.433659643
170,1.314565199,0.433542951
3,1.310392703,0.432166864
173,1.304875388,0.430347256
80,1.300634945,0.42894876
105,1.299470264,0.428564649
79,1.293810753,0.426698145
130,1.287988339,0.424777916
39,1.285287893,0.42388731
183,1.284939436,0.423772389
16,1.278302526,0.421583539
132,1.278023103,0.421491386
110,1.274183868,0.420225208
42,1.272833799,0.419779956
106,1.264210242,0.416935911
103,1.256922615,0.414532455
31,1.250837239,0.412525502
43,1.242352061,0.409727094
117,1.238006732,0.408294007
2,1.227107898,0.404699577
35,1.210891691,0.39935148
34,1.208971104,0.398718071
8,1.206484685,0.397898051
100,1.205591176,0.397603372
157,1.205376866,0.397532693
131,1.202938155,0.396728407
126,1.199065503,0.395451209
95,1.198242026,0.395179626
98,1.19140553,0.392924953
160,1.180378298,0.389288178
64,1.172242699,0.386605061
50,1.171427089,0.386336074
158,1.17047753,0.386022909
140,1.164190117,0.383949324
176,1.163965739,0.383875324
193,1.163855396,0.383838933
92,1.16115421,0.382948083
99,1.160978752,0.382890217
18,1.157794524,0.38184006
22,1.149550232,0.379121097
29,1.149010039,0.378942941
72,1.146776418,0.378206294
116,1.145847035,0.377899784
181,1.14242742,0.376771997
124,1.141235097,0.376378769
66,1.139308777,0.37574347
171,1.138137386,0.375357146
44,1.137561042,0.375167068
151,1.13380706,0.373929007
87,1.132242852,0.373413132
15,1.131016508,0.373008684
88,1.130954795,0.372988331
21,1.129714177,0.372579176
169,1.129266296,0.372431465
115,1.127108538,0.371719837
188,1.125411766,0.371160243
68,1.118346662,0.368830175
161,1.116159246,0.368108766
197,1.115363519,0.367846336
17,1.113519119,0.367238054
5,1.113060673,0.367086858
122,1.111103701,0.36644145
76,1.110519916,0.366248918
185,1.101190299,0.363172015
90,1.096441963,0.361606016
55,1.095456581,0.361281037
182,1.095145216,0.361178349
144,1.09353372,0.360646879
190,1.093505356,0.360637525
112,1.092191544,0.36020423
186,1.091618135,0.36001512
118,1.090064295,0.359502664
152,1.086761278,0.358413331
65,1.085814849,0.358101199
137,1.084818814,0.357772707
19,1.082858651,0.357126246
94,1.080544316,0.35636298
198,1.075198259,0.354599853
61,1.072731599,0.35378635
6,1.072541579,0.353723681
63,1.072515635,0.353715125
23,1.071932349,0.353522757
192,1.07103768,0.353227696
67,1.069038212,0.352568273
156,1.067419806,0.352034523
111,1.066169509,0.351622176
136,1.065654886,0.351452453
69,1.064301676,0.351006165
172,1.062842117,0.350524804
159,1.062672797,0.350468962
9,1.062315776,0.350351217
107,1.06092697,0.349893189
51,1.057359303,0.348716574
37,1.057185151,0.348659139
47,1.055612126,0.348140356
78,1.051842625,0.346897176
121,1.046938594,0.345279829
54,1.0446328,0.34451938
154,1.044538591,0.34448831
25,1.034387512,0.341140489
191,1.029960342,0.33968041
86,1.025215357,0.338115517
195,1.022772971,0.337310019
177,1.02165841,0.336942437
167,1.020540496,0.33657375
4,1.018987558,0.336061592
135,1.018955393,0.336050984
187,1.016440624,0.335221614
141,1.015093314,0.334777272
28,1.014522523,0.334589025
26,1.013561685,0.334272141
59,1.007175268,0.332165904
142,1.005964675,0.331766651
53,1.005027225,0.331457481
52,1.004214988,0.331189605
93,1.003893939,0.331083723
